13-12-2018 05:42:54 - access_log --> 192.168.137.1|user|NO_MSISDN|ACL Settings|http://localhost:7777/AclExpo/public/acl-settings|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:09:43 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:12:34 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:12:49 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:13:11 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:15:00 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:16:35 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:16:38 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:16:51 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 06:18:02 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:33:40 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:33:46 - access_log --> 192.168.137.1|user|NO_MSISDN|Dashboard|http://localhost:7777/AclExpo/public/dashboard|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:34:27 - access_log --> 192.168.137.1|user|NO_MSISDN|User Management|http://localhost:7777/AclExpo/public/admin/user/management?tab=create_user|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:39:18 - access_log --> 192.168.137.1|user|NO_MSISDN|Dashboard|http://localhost:7777/AclExpo/public/dashboard|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:39:32 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:39:33 - access_log --> 192.168.137.1|user|NO_MSISDN|Dashboard|http://localhost:7777/AclExpo/public/dashboard|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:39:41 - access_log --> 192.168.137.1|user|NO_MSISDN|User Management|http://localhost:7777/AclExpo/public/user/management?tab=create_user|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:41:12 - access_log --> 192.168.137.1|user|NO_MSISDN|User Management|http://localhost:7777/AclExpo/public/user/management?tab=create_user|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:42:20 - access_log --> 192.168.137.1|user|NO_MSISDN|User Management|http://localhost:7777/AclExpo/public/user/management?tab=create_user|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:47:38 - access_log --> 192.168.137.1|user|NO_MSISDN|User Management|http://localhost:7777/AclExpo/public/user/management?tab=create_user|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:48:43 - access_log --> 192.168.137.1|user|NO_MSISDN|User Management|http://localhost:7777/AclExpo/public/user/management?tab=create_user|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:52:08 - access_log --> 192.168.137.1|user|NO_MSISDN|User Management|http://localhost:7777/AclExpo/public/user/management?tab=create_user|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:56:10 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:56:11 - access_log --> 192.168.137.1|user|NO_MSISDN|Dashboard|http://localhost:7777/AclExpo/public/dashboard|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 07:56:21 - access_log --> 192.168.137.1|user|NO_MSISDN|ACL Settings|http://localhost:7777/AclExpo/public/acl-settings|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 08:25:34 - access_log --> 192.168.137.1|user|NO_MSISDN|ACL Settings|http://localhost:7777/AclExpo/public/acl-settings|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 08:28:27 - access_log --> 192.168.137.1|user|NO_MSISDN|ACL Settings|http://localhost:7777/AclExpo/public/acl-settings|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 08:29:19 - access_log --> 192.168.137.1|user|NO_MSISDN|ACL Settings|http://localhost:7777/AclExpo/public/acl-settings|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 08:30:23 - access_log --> 192.168.137.1|user|NO_MSISDN|ACL Settings|http://localhost:7777/AclExpo/public/acl-settings|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 08:30:47 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 08:31:37 - access_log --> 192.168.137.1|user|NO_MSISDN|Role Type Create|http://localhost:7777/AclExpo/public/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 08:31:38 - access_log --> 192.168.137.1|user|NO_MSISDN|ACL Settings|http://localhost:7777/AclExpo/public/acl-settings|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 08:33:41 - access_log --> 192.168.137.1|user|NO_MSISDN|Permission Type Create|http://localhost:7777/AclExpo/public/permission-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 08:33:42 - access_log --> 192.168.137.1|user|NO_MSISDN|ACL Settings|http://localhost:7777/AclExpo/public/acl-settings|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:45:58 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:46:09 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public/auth|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:46:09 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public/auth|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:46:34 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public/auth|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:46:35 - access_log --> 192.168.137.1|user|NO_MSISDN|Dashboard|http://localhost:7777/AclExpo/public/dashboard|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:46:44 - access_log --> 192.168.137.1|user|NO_MSISDN|Logout|http://localhost:7777/AclExpo/public/auth/me/logout/root%40sample.com|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:46:45 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public/auth|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:46:57 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public/auth|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:46:57 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public/auth|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:47:07 - access_log --> 192.168.137.1|user|NO_MSISDN|Sign in|http://localhost:7777/AclExpo/public/auth|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:47:08 - access_log --> 192.168.137.1|user|NO_MSISDN|Dashboard|http://localhost:7777/AclExpo/public/dashboard|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:47:49 - access_log --> 192.168.137.1|user|NO_MSISDN|sales Role Type Create|http://localhost:7777/AclExpo/public/sales/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:48:26 - access_log --> 192.168.137.1|user|NO_MSISDN|sales Role Type Create|http://localhost:7777/AclExpo/public/sales/role-type/create|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:48:34 - access_log --> 192.168.137.1|user|NO_MSISDN|Sales Dashboard|http://localhost:7777/AclExpo/public/sales/report|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:49:05 - access_log --> 192.168.137.1|user|NO_MSISDN|Sales Dashboard|http://localhost:7777/AclExpo/public/sales/report|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:49:09 - access_log --> 192.168.137.1|user|NO_MSISDN|Sales Dashboard|http://localhost:7777/AclExpo/public/sales/report2|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:49:32 - access_log --> 192.168.137.1|user|NO_MSISDN|Sales Dashboard|http://localhost:7777/AclExpo/public/sales/report2|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:49:43 - access_log --> 192.168.137.1|user|NO_MSISDN|Sales Dashboard 22|http://localhost:7777/AclExpo/public/sales/report2|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:50:42 - access_log --> 192.168.137.1|user|NO_MSISDN|Sales Dashboard 22|http://localhost:7777/AclExpo/public/sales/report2|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
13-12-2018 10:50:54 - access_log --> 192.168.137.1|user|NO_MSISDN|Sales Dashboard|http://localhost:7777/AclExpo/public/sales/report|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0|windows|||
